gene,drug,interaction
0,0,1.0
1,1,1.0
2,2,1.0
3,3,1.0
5,5,1.0
8,8,1.0
9,9,1.0
10,10,1.0
11,11,1.0
12,12,1.0
13,13,1.0
14,14,1.0
15,15,1.0
16,16,1.0
17,17,1.0
18,18,1.0
19,19,1.0
20,20,1.0
21,21,1.0
22,22,1.0
0,23,1.0
23,24,1.0
24,25,1.0
25,26,1.0
26,27,1.0
27,28,1.0
28,29,1.0
29,30,1.0
7,31,1.0
31,33,1.0
34,36,1.0
35,37,1.0
36,38,1.0
39,42,1.0
40,43,1.0
41,44,1.0
42,45,1.0
9,46,1.0
43,47,1.0
44,48,1.0
45,49,1.0
46,50,1.0
37,51,1.0
47,52,1.0
48,53,1.0
50,55,1.0
38,56,1.0
51,57,1.0
52,58,1.0
53,59,1.0
54,60,1.0
55,61,1.0
57,63,1.0
58,64,1.0
59,65,1.0
20,66,1.0
60,67,1.0
61,68,1.0
62,69,1.0
61,71,1.0
64,72,1.0
65,73,1.0
66,74,1.0
67,75,1.0
68,76,1.0
69,77,1.0
70,78,1.0
71,79,1.0
72,81,1.0
73,82,1.0
42,4,1.0
74,83,1.0
75,84,1.0
20,86,1.0
52,87,1.0
77,88,1.0
78,89,1.0
79,90,1.0
80,91,1.0
81,92,1.0
82,93,1.0
74,95,1.0
84,96,1.0
86,63,1.0
87,98,1.0
88,99,1.0
89,100,1.0
91,102,1.0
92,103,1.0
93,104,1.0
70,78,1.0
96,106,1.0
97,13,1.0
98,107,1.0
100,109,1.0
101,110,1.0
102,111,1.0
21,112,1.0
103,113,1.0
104,19,1.0
105,114,1.0
106,115,1.0
107,116,1.0
109,118,1.0
110,119,1.0
91,120,1.0
39,122,1.0
24,123,1.0
112,55,1.0
113,124,1.0
114,125,1.0
93,126,1.0
115,127,1.0
116,128,1.0
117,9,1.0
118,129,1.0
119,130,1.0
120,131,1.0
121,132,1.0
112,134,1.0
56,136,1.0
124,19,1.0
126,138,1.0
127,139,1.0
129,47,1.0
130,142,1.0
131,143,1.0
132,144,1.0
133,145,1.0
134,36,1.0
135,146,1.0
136,13,1.0
137,147,1.0
138,148,1.0
139,149,1.0
140,150,1.0
141,151,1.0
142,152,1.0
20,13,1.0
144,154,1.0
145,155,1.0
146,156,1.0
147,157,1.0
148,158,1.0
150,160,1.0
151,161,1.0
152,162,1.0
132,163,1.0
153,164,1.0
154,165,1.0
64,166,1.0
155,37,1.0
156,168,1.0
157,169,1.0
159,171,1.0
160,172,1.0
161,173,1.0
12,174,1.0
162,90,1.0
163,175,1.0
133,145,1.0
132,177,1.0
165,178,1.0
42,100,1.0
166,179,1.0
64,181,1.0
168,182,1.0
37,183,1.0
169,184,1.0
171,186,1.0
172,187,1.0
173,188,1.0
174,189,1.0
175,190,1.0
177,192,1.0
126,194,1.0
179,195,1.0
180,196,1.0
56,198,1.0
1,199,1.0
182,200,1.0
184,202,1.0
185,203,1.0
188,206,1.0
189,207,1.0
190,208,1.0
191,209,1.0
192,210,1.0
171,212,1.0
12,213,1.0
193,214,1.0
194,215,1.0
195,216,1.0
197,179,1.0
198,218,1.0
199,219,1.0
200,220,1.0
201,221,1.0
202,222,1.0
189,223,1.0
203,224,1.0
204,225,1.0
205,226,1.0
206,227,1.0
207,228,1.0
37,231,1.0
12,233,1.0
211,234,1.0
212,235,1.0
213,236,1.0
214,237,1.0
215,238,1.0
216,78,1.0
219,241,1.0
220,242,1.0
64,243,1.0
24,244,1.0
221,245,1.0
218,247,1.0
222,248,1.0
223,249,1.0
224,250,1.0
227,253,1.0
201,254,1.0
229,256,1.0
232,259,1.0
233,260,1.0
145,262,1.0
